,timestep,J,Cl mg/l,Q,ET,Q Cl mg/l,S_scale,Rn,Ta
2006-06-09,8438,0.0,0.0,1.473159218,8.38501044,,6443.551852,365.7916666666667,17.180833333333332
2006-06-10,8439,0.0,0.0,1.364329609,7.822358439,,6627.409733,327.7916666666667,17.599166666666665
2006-06-11,8440,2.25,3.923155101,1.308041899,5.602419009,,6728.481052,274.4583333333333,15.492916666666666
2006-06-12,8441,0.25,1.841307256,1.311988827,2.53224486,,6718.480954,137.625,12.873333333333333
2006-06-13,8442,1.5,2.870070899,1.256379888,2.222914457,6.0,6824.954264,120.79166666666667,10.8175
2006-06-14,8443,0.25,1.506849315,1.188050279,3.945359174,,6950.902521,201.25,11.356833333333334
2006-06-15,8444,0.0,0.0,1.119946927,6.025207655,,7094.387201,338.25,12.052083333333334
2006-06-16,8445,0.0,0.0,1.054860335,6.462003652,,7239.817322,316.125,14.035416666666668
2006-06-17,8446,0.0,0.0,1.004128492,7.191351362,,7362.424414,336.625,15.701666666666668
2006-06-18,8447,7.0,1.506849315,1.014787709,1.879356048,,7372.628237,106.16666666666667,11.330416666666666
2006-06-19,8448,6.5,1.506849315,1.167184358,1.570663788,,6985.796531,103.33333333333333,10.518749999999999
2006-06-20,8449,13.75,1.506849315,1.343438547,2.535421197,6.1,6630.855168,153.04166666666666,10.475
2006-06-21,8450,0.25,3.843286326,1.279784916,3.506681757,,6629.430687,224.25,8.391208333333333
2006-06-22,8451,0.5,1.465897577,0.974463687,1.857326081,,7431.4657,98.33333333333333,7.906916666666667
2006-06-23,8452,0.0,0.0,0.891905028,5.463309728,,7655.372747,286.8333333333333,10.624583333333334
2006-06-24,8453,0.0,0.0,0.85952514,2.718449209,,7756.029247,139.33333333333334,11.192916666666667
2006-06-25,8454,0.5,1.815435173,0.845069832,2.114078812,,7798.388282,104.0,12.651666666666666
2006-06-26,8455,3.5,2.795461664,0.825486034,1.587556073,,7865.62871,84.875,10.53375
2006-06-27,8456,9.0,8.205861456,0.978511173,1.633644385,6.3,7430.320947,83.66666666666667,11.055416666666666
2006-06-28,8457,0.5,1.643835616,0.90447486,2.958400341,,7607.345626,153.375,12.277916666666668
2006-06-29,8458,0.0,0.0,0.810226257,5.570171849,,7902.930374,252.0,13.760416666666666
2006-06-30,8459,0.0,0.0,0.770857542,4.312820826,,8032.749629,227.125,14.467500000000001
2006-07-01,8460,0.0,0.0,0.735184358,7.0500759,,8157.871553,297.7916666666667,18.224166666666665
2006-07-02,8461,0.0,0.0,0.709114525,4.924583838,,8252.222184,208.625,19.629166666666666
2006-07-03,8462,0.0,0.0,0.682868715,6.70591173,,8356.050457,284.3333333333333,19.59875
2006-07-04,8463,0.0,0.0,0.66147486,5.92728529,6.1,8443.145423,257.8333333333333,18.317083333333333
2006-07-05,8464,10.75,4.049464012,0.752782123,3.829604626,,8092.693969,173.875,17.34208333333333
2006-07-06,8465,0.25,1.588348799,0.712106145,4.862557031,,8225.522187,252.08333333333334,15.594166666666666
2006-07-07,8466,0.5,4.630338948,0.664013966,3.15308199,,8429.348993,177.79166666666666,11.760833333333332
2006-07-08,8467,10.0,8.505630952,0.67726257,2.996850127,,8425.078276,155.29166666666666,10.86875
2006-07-09,8468,10.0,2.747448826,1.198357542,1.220841209,,6904.193826,80.66666666666667,11.451666666666666
2006-07-10,8469,3.75,1.367207564,0.807385475,1.71321725,,7910.600563,96.54166666666667,12.672083333333333
2006-07-11,8470,0.25,5.675782207,0.729553073,4.940475749,6.3,8159.629745,296.6666666666667,11.40625
2006-07-12,8471,1.0,5.79253531,0.657703911,3.174672911,,8456.421452,170.91666666666666,12.219166666666666
2006-07-13,8472,0.25,3.325726363,0.637139665,6.858090553,,8538.284308,360.9166666666667,12.891666666666666
2006-07-14,8473,0.0,0.0,0.614212291,6.598070685,,8642.463713,341.5833333333333,12.950000000000001
2006-07-15,8474,0.0,0.0,0.609410615,6.934853566,,8666.618426,340.875,14.112499999999999
